Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1j4yhkxSCEDmiLVKjpYKWq,"4VMYDCV2IEDYJArk749S6m,14zUHaJZo1mnYtn6IBRaRP,0KPX4Ucy9dk82uj4GpKesn","LA HORA Y EL DÍA","LA HORA Y EL DÍA","Daddy Yankee,Justin Quiles,Dalex",2023-02-16,217254,79,spotify:user:,2023-03-24T04:00:00Z,"latin hip hop,reggaeton,urbano latino,trap latino,r&b en espanol",0.806,0.83,7,-3.767,0,0.0981,0.117,0,0.101,0.663,81.01,4
5nBHB9JZjBS087RSDgIEon,"1lgtR3WlcFxEy6yPoOh0J2,3qsKSpcV3ncke3hw52JSMB,7nuTWfojdN0o8d7NGDo71U","Big Booty","Big Booty","Hozwal,Young Miko,Lil Geniuz",2023-02-02,191052,78,spotify:user:,2023-03-24T04:00:00Z,"reggaeton flow,trap latino,urbano latino",0.907,0.551,6,-5.257,0,0.237,0.209,0,0.107,0.644,152.031,4
4I4FFtKZLtyqw4he9pPtL7,"6WAnQfBWB7ddhujPsFQ0pG","Vida Gangster","Vida Gangster","Lauty Gram",2022-12-08,170058,81,spotify:user:,2023-03-24T04:00:00Z,"rkt",0.693,0.756,4,-5.209,0,0.0477,0.5,0.0000467,0.135,0.53,94.884,4
5S8i9p2xS8M8pFqfZMbMzI,"1mcTU81TzQhprhouKaTkpq,5jNjbQYkujIbjSvvKroBlv","RON COLA","SATURNO","Rauw Alejandro,Subelo NEO",2023-01-24,186722,80,spotify:user:,2023-03-24T04:00:00Z,"puerto rican pop,trap latino,urbano latino",0.739,0.682,9,-5.121,0,0.0972,0.417,0.0000395,0.105,0.476,94.048,4
4EQOGfssbSpTlV6EZRtrSv,"7iK8PXO48WeuP03g8YR51W,4VMYDCV2IEDYJArk749S6m","ULALA (OOH LA LA)","ULALA (OOH LA LA)","Myke Towers,Daddy Yankee",2022-11-24,188009,82,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,trap latino,urbano latino,latin hip hop",0.872,0.681,0,-4.348,0,0.11,0.0462,0.0000138,0.129,0.481,96.986,4
1lRtH4FszTrwwlK5gTSbXO,"0elWFr7TW8piilVRYJUe4P,12GqGscKJx3aE4t07u7eVZ,6Sbl0NT50roqWvy746MfVf","AMG","AMG","Natanael Cano,Peso Pluma,Gabito Ballesteros",2022-11-24,174942,91,spotify:user:,2023-03-24T04:00:00Z,"corrido,corridos tumbados,musica mexicana,nueva musica mexicana,sad sierreno,sierreno",0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,3
1PAvhqefivTNdxZ4u8RT1d,"7vXDAI8JwjW531ouMGbfcp,60XHOAhvEBiV6BGBOv8ClM,77AiFEVeAVj2ORpC85QVJs","Muñecas","Muñecas","TINI,La Joaqui,Steve Aoki",2023-01-12,156318,82,spotify:user:,2023-03-24T04:00:00Z,"latin pop,pop argentino,argentine hip hop,rap latina,dance pop,edm,electro house,pop dance,pop rap,tropical house",0.681,0.711,10,-4.79,0,0.0846,0.0278,0,0.312,0.826,89.89,4
3HMlb6Dh9OGr3CjV6IwjEP,"1phfTBIocBW3UwqcYjaEN6","De Qué Manera","De Qué Manera","Mike Bahía",2022-12-22,193125,73,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino",0.756,0.735,7,-6.178,1,0.0668,0.692,0,0.0715,0.558,92.028,4
1haJsMtoBhHfvuM7XWuT3W,"7Gi6gjaWy3DxyilpF1a8Is,12GqGscKJx3aE4t07u7eVZ","El Azul","El Azul","Junior H,Peso Pluma",2023-02-10,187225,85,spotify:user:,2023-03-24T04:00:00Z,"corridos tumbados,musica mexicana,nueva musica mexicana,sad sierreno,sierreno",0.558,0.648,9,-7.081,0,0.055,0.226,0.00000776,0.0986,0.844,143.876,3
5Eax0qFko2dh7Rl2lYs3bx,"4q3ewBCX7sLwd24euuV69X","Efecto","Un Verano Sin Ti","Bad Bunny",2022-05-06,213061,88,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,trap latino,urbano latino",0.801,0.475,7,-8.797,0,0.0516,0.141,0.0000173,0.0639,0.234,98.047,4
